num1,num2,ans,time,numOfClicks
4,5,0,+,1911,2
22,18,4,-,1557,1
-27,-37,10,-,3714,2
0,5,10,+,1610,2
37,37,0,-,0,0
7,7,0,+,5477,5
-47,-42,-5,-,19270,10
9,0,-5,+,2011,2
49,52,-3,-,6927,4
-15,-14,-1,-,4383,5
11,2,-1,+,4868,3
5,9,-1,+,10290,7
4,3,-1,+,2766,3
7,2,-1,+,3410,2
6,5,-1,+,3867,3
8,3,-1,+,3467,3
-49,-62,13,-,4571,3
13,1,13,+,2567,3
-26,-30,4,-,2057,1
-47,-55,8,-,1856,1
-1,-7,6,-,3313,2
3,-1,4,-,1555,1
3,5,4,+,1356,1
13,1,4,+,2967,3
13,0,4,+,5778,5
-14,-9,-5,-,7338,6
14,1,-5,+,3522,4
-49,-43,-6,-,8173,3
5,6,-6,+,3967,3
48,56,-8,-,5914,2
-45,-46,1,-,10298,7
16,3,13,-,11671,3
-12,-9,-3,-,15654,8
47,42,5,-,2512,2
8,1,5,+,2509,2
47,47,0,-,0,0
-41,-46,5,-,3813,2
5,0,5,+,2211,2
8,6,5,+,3367,3
8,4,5,+,3921,4
44,35,9,-,4813,2
18,15,3,-,3212,2
10,4,3,+,3568,3
15,4,11,-,4768,3
17,18,-1,-,8093,7
0,8,-1,+,1457,1
11,0,-1,+,3768,3
8,1,-1,+,2612,2
-10,-21,11,-,9174,3
5,10,11,+,7226,4
45,51,-6,-,5770,3
9,4,-6,+,5268,3
5,4,-6,+,1909,2
-44,-36,-8,-,4515,2
5,1,-8,+,2611,2
-6,-16,10,-,3413,2
-24,-16,-8,-,3613,2
-12,-9,-3,-,11341,6
0,-4,4,-,2811,2
13,0,4,+,8691,7
7,8,4,+,6733,6
2,3,4,+,4121,4
-27,-19,-8,-,-5897,18
18,11,7,-,4767,3
0,9,7,+,3711,2
-39,-49,10,-,5415,2
12,0,10,+,5613,2
8,4,10,+,1911,2
41,40,1,-,4269,3
14,1,1,+,2824,4
7,8,1,+,5223,4
-39,-36,-3,-,9329,4
11,3,8,-,2056,1
10,2,8,+,2311,2
6,7,8,+,4066,3
4,3,8,+,2666,3
22,17,5,-,2812,2
34,38,-4,-,7681,5
9,4,-4,+,9679,5
13,2,-4,+,6634,6
5,-9,14,-,11782,5
-48,-56,8,-,1756,1
-1,1,-2,-,9025,4
9,4,-2,+,4867,3
1,-6,7,-,9870,3
3,7,7,+,2811,2
4,11,7,+,11727,4
14,0,7,+,2666,3
