num1,num2,ans,time,numOfClicks
4,5,0,+,1810,2
22,18,4,-,1656,1
-27,-37,10,-,2013,2
0,5,10,+,1909,2
37,37,0,-,0,0
7,7,0,+,2266,3
-47,-42,-5,-,14357,8
9,0,-5,+,2311,2
49,52,-3,-,5925,4
-15,-14,-1,-,5683,5
11,2,-1,+,2867,3
5,9,-1,+,4467,3
4,3,-1,+,2966,3
7,2,-1,+,2511,2
6,5,-1,+,2566,3
8,3,-1,+,2166,3
-49,-62,13,-,4371,3
13,1,13,+,2267,3
-26,-30,4,-,3557,1
-47,-55,8,-,1957,1
-1,-7,6,-,2012,2
3,-1,4,-,1356,1
3,5,4,+,1256,1
13,1,4,+,3167,3
13,0,4,+,4167,3
-14,-9,-5,-,4525,4
14,1,-5,+,5525,4
-49,-43,-6,-,6872,3
5,6,-6,+,2366,3
48,56,-8,-,6825,4
-45,-46,1,-,4358,1
16,3,13,-,4669,3
-12,-9,-3,-,6427,4
47,42,5,-,3212,2
8,1,5,+,1810,2
47,47,0,-,0,0
-41,-46,5,-,3513,2
5,0,5,+,2111,2
8,6,5,+,5868,3
8,4,5,+,3211,2
44,35,9,-,2411,2
18,15,3,-,3512,2
10,4,3,+,2067,3
15,4,11,-,3068,3
17,18,-1,-,7592,7
0,8,-1,+,1255,1
11,0,-1,+,8791,7
8,1,-1,+,1710,2
-10,-21,11,-,6473,3
5,10,11,+,2923,4
45,51,-6,-,7491,7
9,4,-6,+,4267,3
5,4,-6,+,1711,2
-44,-36,-8,-,9142,6
5,1,-8,+,4212,2
-6,-16,10,-,3814,2
-24,-16,-8,-,6127,4
